code,role,schoolId,expiresAt,note
TEAC-GEN-4AC5B7,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-6979D2,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-B70D07,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-0C9E12,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-EE3E8B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-5DB0A6,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-DDF0AC,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-4EC68B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-A08A7D,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-90A9F9,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-7460B8,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-696B98,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-0DE4D4,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-B5A623,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-DAE4A6,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-BBEE28,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-935A6F,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-636651,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-C5CCAE,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-45E7A1,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-F2B3B9,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-4D9A35,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-0C63F3,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-C9E5B1,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-0ACF4A,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-CC9196,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-B680AD,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-E2D61C,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-5138E4,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-2FA5C3,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-A35125,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-0CBBFE,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-DF3C0E,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-BF5ABF,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-C4F4D5,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-23AF2C,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-00EFE9,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-DB3C00,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-9EE773,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-CC9F47,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-16968B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-6DB89D,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-FE096C,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-61F4C8,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-74F61D,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-EF1C65,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-04AA81,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-D0BA66,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-28E87E,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-B5EABB,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-00F5E9,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-1532C8,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-FD4F39,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-0DD08B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-B21B95,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-C17ADB,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-FB6E2B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-CF90F0,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-9FDB8B,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-11ABE9,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-5D2745,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-BF0EFE,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-1B4B0A,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-124BA0,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-5C472C,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
TEAC-GEN-F33D7C,teacher,,"2027-06-10T02:15:53.904Z","2026-06-10 first-batch"
